año,titulo,descripcion,imagen_alt
1956,GM-NAA I/O,"Primer sistema operativo de propósito general para el IBM 704; automatizaba la ejecución de lotes de tarjetas perforadas y sentó las bases del procesamiento por lotes.","Tarjetas perforadas siendo alimentadas a un IBM 704 en la década de 1950"
1969,Unix,"Desarrollado en los Laboratorios Bell; introdujo la filosofía de herramientas pequeñas que hacen una sola cosa bien y el concepto de sistemas de archivos jerárquicos.","Terminal teletipo conectado a un minicomputador PDP-11 ejecutando Unix"
1970,CP/M,"Control Program for Microcomputers de Gary Kildall; estándar de facto en microcomputadoras de 8 bits antes del PC-DOS/MS-DOS.","Computadora IMSAI 8080 con disquetes de 8 pulgadas usados por CP/M"
1981,MS-DOS 1.0,"Sistema operativo para el IBM PC; marcó el inicio de la dominancia de Microsoft en PCs.","Primer IBM PC modelo 5150 encendido mostrando el prompt C:\\>"
1984,System 1 (Macintosh),"Introdujo la interfaz gráfica de usuario comercialmente exitosa con ventanas, íconos y ratón.","Apple Macintosh original con su icónico monitor en blanco y negro y ratón de un solo botón"
1985,Windows 1.0,"Primera versión de Microsoft Windows; añadía un entorno gráfico sobre MS-DOS.","Pantalla con mosaicos de Windows 1.0 y logo antiguo de Microsoft"
1987,OS/2 1.0,"Proyecto conjunto IBM-Microsoft para suceder a DOS; incorporó multitarea cooperativa y una interfaz gráfica llamada Presentation Manager.","IBM PS/2 corriendo OS/2 con Presentation Manager abierta"
1991,Linux 0.01,"Linus Torvalds publica el kernel Linux; da origen al ecosistema de software libre tipo Unix.","Linus Torvalds en 1991 sentado frente a una PC 386 mostrando código fuente en pantalla"
1993,Windows NT 3.1,"Primer Windows de 32 bits independiente de DOS; arquitectura híbrida y modelo de seguridad empresarial.","Pantalla de bienvenida de Windows NT 3.1 con logo multicolor"
1995,Windows 95,"Popularizó la barra de tareas, menú Inicio y soporte plug-and-play; vendido en masa con una campaña mediática sin precedentes.","Caja minorista de Windows 95 apilada en tiendas con el logotipo ondeante"
1996,Palm OS 1.0,"Sistema operativo móvil orientado a agendas digitales; famoso por la sincronización HotSync.","Palm Pilot original con su lápiz óptico mostrando la aplicación de calendario"
1999,Mac OS 9,"Última versión ‘clásica’ antes de Mac OS X; introdujo Sherlock 2 y mejoró la multitarea.","iMac G3 de colores translúcidos ejecutando Mac OS 9"
2001,Mac OS X 10.0 Cheetah,"Fusionó interfaz Aqua con kernel Unix (Darwin); renovó por completo el ecosistema de Apple.","Captura de pantalla de la interfaz Aqua con botón gelatinoso de cierre de ventana"
2001,Windows XP,"Combinó las líneas NT y consumer; larguísimo ciclo de vida y elevado uso mundial.","Escritorio default ‘Bliss’ con colinas verdes bajo cielo azul en Windows XP"
2007,iPhone OS 1,"Primer sistema operativo del iPhone; llevó la interfaz multitáctil a millones de usuarios.","iPhone original mostrando la pantalla de inicio con íconos redondeados"
2008,Android 1.0,"Lanzado con el HTC Dream; sistema abierto basado en Linux con Android Market (hoy Play Store).","HTC Dream deslizándose para revelar el teclado ejecutando Android 1.0"
2012,Windows 8,"Introdujo interfaz ‘Metro’ centrada en pantallas táctiles y la Windows Store.","Tableta Surface con mosaicos vivos de Windows 8 en pantalla de inicio"
2014,Android 5.0 Lollipop,"Adoptó Material Design y ART Runtime; mejoró rendimiento y estética en todo el ecosistema.","Teléfono Nexus 6 mostrando la animación circular de inicio de Lollipop"
2015,Windows 10,"Modelo ‘Windows as a Service’; Cortana integrada y regreso del menú Inicio clásico con mosaicos.","Portátil mostrando escritorio de Windows 10 con menú Inicio abierto"
2017,macOS High Sierra,"Introdujo el sistema de archivos APFS y soporte inicial para eGPU; optimizaciones en Metal 2.","MacBook Pro corriendo macOS High Sierra con la imagen de fondo de la montaña"
2019,iPadOS 13,"Rama específica para iPad con multitarea mejorada, soporte para ratón y Safari de escritorio.","iPad Pro con Split View y Slide Over activos sobre iPadOS 13"
2020,macOS 11 Big Sur,"Rediseño visual y soporte nativo para procesadores Apple Silicon M1.","Mac mini M1 conectado a monitor externo mostrando macOS Big Sur"
2021,Windows 11,"Nueva interfaz Fluent Design y compatibilidad con apps Android vía subsistema WSA.","Laptop con biseles delgados ejecutando Windows 11 y menú Inicio centrado"
2023,Android 14,"Mejoras en privacidad, batería y personalización; soporte ampliado para dispositivos plegables.","Teléfono plegable ejecutando Android 14 en modo pantalla extendida"
2024,Ubuntu 24.04 LTS ‘Noble Numbat’,"Versión de soporte prolongado con actualizaciones de kernel, ZFS y nuevas herramientas de IA.","Escritorio GNOME de Ubuntu 24.04 con el fondo naranja y logo del ñumbat"
